"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 21:59:34 GMT 2024","Sun Jun 09 21:59:35 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 21:59:19 GMT 2024","Sun Jun 09 21:59:20 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 21:59:19 GMT 2024","Sun Jun 09 21:59:19 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 09 21:59:28 GMT 2024","Sun Jun 09 21:59:31 GMT 2024","2559","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 21:59:18 GMT 2024","Sun Jun 09 21:59:19 GMT 2024","743","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 21:59:26 GMT 2024","Sun Jun 09 21:59:27 GMT 2024","743","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 21:59:33 GMT 2024","Sun Jun 09 21:59:33 GMT 2024","686","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 09 21:59:32 GMT 2024","Sun Jun 09 21:59:32 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 21:59:19 GMT 2024","Sun Jun 09 21:59:19 GMT 2024","312","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
